名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1(0级)	魔法属性索引1(10级)	魔法属性索引2(0级)	魔法属性索引2(10级)	魔法属性索引3(0级)	魔法属性索引3(10级)	魔法属性索引4(0级)	魔法属性索引4(10级)	魔法属性索引5(0级)	魔法属性索引5(10级)	魔法属性索引6(0级)	魔法属性索引6(10级)	所在套装	6级技能ID	10级技能ID	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2	可熔炼属性数量	可熔炼纹钢品质
[玄金]鸣凤之天荒冠	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	玄金装备，鸣凤级唐门弩箭套装第二件	0	99999	10	0	30	360	360	31	85	85																36	170	39	2																					280			221	2				
[玄金]鸣凤之天荒上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，鸣凤级唐门弩箭套装第三件	2	99999	10	0																						36	170	39	2																					280			221	3				
[玄金]鸣凤之天荒护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	玄金装备，鸣凤级唐门弩箭套装第四件	1	99999	10	0	30	135	135	31	80	80																36	170	39	2																					280			221	4				
[玄金]鸣凤之天荒束腰	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	玄金装备，鸣凤级唐门弩箭套装第五件	3	99999	10	0	30	160	160	31	80	80																36	170	39	2																					280			221	5				
[玄金]鸣凤之天荒甲衣	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-3.spr	22	2	3	玄金装备，鸣凤级唐门弩箭套装第六件	4	99999	10	0	30	720	720	31	90	90																36	170	39	2																					280			221	6				
[玄金]鸣凤之天荒袖箭	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	玄金装备，鸣凤级唐门弩箭套装第七件	0	99999	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										36	170	39	2																					280			221	7				
[玄金]鸣凤之天荒履	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	玄金装备，鸣凤级唐门弩箭套装第八件	2	99999	10	0	30	160	160	31	80	80																36	170	39	2																					280			221	8				
[玄金]鸣凤之天荒腰坠	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	玄金装备，鸣凤级唐门弩箭套装第九件	1	99999	10	0																						36	170	39	2																					280			221	9				
[玄金]鸣凤之天荒下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	玄金装备，鸣凤级唐门弩箭套装第十件	3	99999	10	0																						36	170	39	2																					280			221	10				
[玄金]鸣凤之天骄项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，鸣凤级唐门飞镖套装第一件	4	99999	10	0																						36	170	39	2																					281			222	1				
[玄金]鸣凤之天骄发冠	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	玄金装备，鸣凤级唐门飞镖套装第二件	0	99999	10	0	30	360	360	31	85	85																36	170	39	2																					281			222	2				
[玄金]鸣凤之天骄上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，鸣凤级唐门飞镖套装第三件	2	99999	10	0																						36	170	39	2																					281			222	3				
[玄金]鸣凤之天骄护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	玄金装备，鸣凤级唐门飞镖套装第四件	1	99999	10	0	30	135	135	31	80	80																36	170	39	2																					281			222	4				
[玄金]鸣凤之天骄束腰	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	玄金装备，鸣凤级唐门飞镖套装第五件	3	99999	10	0	30	160	160	31	80	80																36	170	39	2																					281			222	5				
[玄金]鸣凤之天骄甲衣	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-3.spr	22	2	3	玄金装备，鸣凤级唐门飞镖套装第六件	4	99999	10	0	30	720	720	31	90	90																36	170	39	2																					281			222	6				
[玄金]鸣凤之天骄飞镖	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	玄金装备，鸣凤级唐门飞镖套装第七件	0	99999	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										36	170	39	2																					281			222	7				
[玄金]鸣凤之天骄履	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	玄金装备，鸣凤级唐门飞镖套装第八件	2	99999	10	0	30	160	160	31	80	80																36	170	39	2																					281			222	8				
[玄金]鸣凤之天骄腰坠	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	玄金装备，鸣凤级唐门飞镖套装第九件	1	99999	10	0																						36	170	39	2																					281			222	9				
[玄金]鸣凤之天骄下戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，鸣凤级唐门飞镖套装第十件	3	99999	10	0																						36	170	39	2																					281			222	10				
[玄金]鸣凤之铁血项链	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	玄金装备，鸣凤级丐帮掌法套装第一件	1	99999	10	0																						36	170	39	6																					282			223	1				
[玄金]鸣凤之铁血头环	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	玄金装备，鸣凤级丐帮掌法套装第二件	3	99999	10	0	30	360	360	31	85	85																36	170	39	6																					282			223	2				
[玄金]鸣凤之铁血上戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	玄金装备，鸣凤级丐帮掌法套装第三件	4	99999	10	0																						36	170	39	6																					282			223	3				
[玄金]鸣凤之铁血护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	玄金装备，鸣凤级丐帮掌法套装第四件	0	99999	10	0	30	135	135	31	80	80																36	170	39	6																					282			223	4				
[玄金]鸣凤之铁血束腰	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	玄金装备，鸣凤级丐帮掌法套装第五件	2	99999	10	0	30	160	160	31	80	80																36	170	39	6																					282			223	5				
[玄金]鸣凤之铁血丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	玄金装备，鸣凤级丐帮掌法套装第六件	1	99999	10	0	30	720	720	31	90	90																36	170	39	6																					282			223	6				
[玄金]鸣凤之铁血缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	玄金装备，鸣凤级丐帮掌法套装第七件	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	170	39	6																					282			223	7				
[玄金]鸣凤之铁血靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，鸣凤级丐帮掌法套装第八件	4	99999	10	0	30	160	160	31	80	80																36	170	39	6																					282			223	8				
[玄金]鸣凤之铁血腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	玄金装备，鸣凤级丐帮掌法套装第九件	0	99999	10	0																						36	170	39	6																					282			223	9				
[玄金]鸣凤之铁血下戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	玄金装备，鸣凤级丐帮掌法套装第十件	2	99999	10	0																						36	170	39	6																					282			223	10				
[玄金]鸣凤之光复项链	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	玄金装备，鸣凤级丐帮棍法套装第一件	0	99999	10	0																						36	170	39	6																					283			224	1				
[玄金]鸣凤之光复头环	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	玄金装备，鸣凤级丐帮棍法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	170	39	6																					283			224	2				
[玄金]鸣凤之光复上戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	玄金装备，鸣凤级丐帮棍法套装第三件	1	99999	10	0																						36	170	39	6																					283			224	3				
[玄金]鸣凤之光复护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	玄金装备，鸣凤级丐帮棍法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	170	39	6																					283			224	4				
[玄金]鸣凤之光复束腰	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	玄金装备，鸣凤级丐帮棍法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	170	39	6																					283			224	5				
[玄金]鸣凤之光复丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	玄金装备，鸣凤级丐帮棍法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	170	39	6																					283			224	6				
[玄金]鸣凤之光复杖	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	玄金装备，鸣凤级丐帮棍法套装第七件	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	170	39	6																					283			224	7				
[玄金]鸣凤之光复靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，鸣凤级丐帮棍法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	170	39	6																					283			224	8				
[玄金]鸣凤之光复腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	玄金装备，鸣凤级丐帮棍法套装第九件	3	99999	10	0																						36	170	39	6																					283			224	9				
[玄金]鸣凤之光复下戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	玄金装备，鸣凤级丐帮棍法套装第十件	4	99999	10	0																						36	170	39	6																					283			224	10				
[玄金]鸣凤之煜日项圈	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，鸣凤级天忍矛法套装第一件	0	99999	10	0																						36	170	39	7																					284			225	1				
[玄金]鸣凤之煜日盔	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	玄金装备，鸣凤级天忍矛法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	170	39	7																					284			225	2				
[玄金]鸣凤之煜日上戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	玄金装备，鸣凤级天忍矛法套装第三件	1	99999	10	0																						36	170	39	7																					284			225	3				
[玄金]鸣凤之煜日护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	玄金装备，鸣凤级天忍矛法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	170	39	7																					284			225	4				
[玄金]鸣凤之煜日腰带	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	玄金装备，鸣凤级天忍矛法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	170	39	7																					284			225	5				
[玄金]鸣凤之煜日甲衣	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	玄金装备，鸣凤级天忍矛法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	170	39	7																					284			225	6				
[玄金]鸣凤之煜日枪	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	玄金装备，鸣凤级天忍矛法套装第七件	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	170	39	7																					284			225	7				
[玄金]鸣凤之煜日靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，鸣凤级天忍矛法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	170	39	7																					284			225	8				
[玄金]鸣凤之煜日佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	玄金装备，鸣凤级天忍矛法套装第九件	3	99999	10	0																						36	170	39	7																					284			225	9				
[玄金]鸣凤之煜日下戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	玄金装备，鸣凤级天忍矛法套装第十件	4	99999	10	0																						36	170	39	7																					284			225	10				
[玄金]鸣凤之炽地项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，鸣凤级天忍刀法套装第一件	1	99999	10	0																						36	170	39	7																					285			226	1				
[玄金]鸣凤之炽地冠冕	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	玄金装备，鸣凤级天忍刀法套装第二件	3	99999	10	0	30	360	360	31	85	85																36	170	39	7																					285			226	2				
[玄金]鸣凤之炽地上戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	玄金装备，鸣凤级天忍刀法套装第三件	4	99999	10	0																						36	170	39	7																					285			226	3				
[玄金]鸣凤之炽地护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	玄金装备，鸣凤级天忍刀法套装第四件	0	99999	10	0	30	135	135	31	80	80																36	170	39	7																					285			226	4				
[玄金]鸣凤之炽地腰带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	玄金装备，鸣凤级天忍刀法套装第五件	2	99999	10	0	30	160	160	31	80	80																36	170	39	7																					285			226	5				
[玄金]鸣凤之炽地甲衣	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	玄金装备，鸣凤级天忍刀法套装第六件	1	99999	10	0	30	720	720	31	90	90																36	170	39	7																					285			226	6				
[玄金]鸣凤之炽地刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	玄金装备，鸣凤级天忍刀法套装第七件	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	170	39	7																					285			226	7				
[玄金]鸣凤之炽地靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，鸣凤级天忍刀法套装第八件	4	99999	10	0	30	160	160	31	80	80																36	170	39	7																					285			226	8				
[玄金]鸣凤之炽地佩	0	9	1	\spr\item\equip\waist\obj-waist13.spr	34	1	2	玄金装备，鸣凤级天忍刀法套装第九件	0	99999	10	0																						36	170	39	7																					285			226	9				
[玄金]鸣凤之炽地下戒	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	玄金装备，鸣凤级天忍刀法套装第十件	2	99999	10	0																						36	170	39	7																					285			226	10				
[玄金]鸣凤之空明符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，鸣凤级武当拳法套装第一件	3	99999	10	0																						36	170	39	8																					286			227	1				
[玄金]鸣凤之空明冠	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	玄金装备，鸣凤级武当拳法套装第二件	4	99999	10	0	30	360	360	31	85	85																36	170	39	8																					286			227	2				
[玄金]鸣凤之空明上戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	玄金装备，鸣凤级武当拳法套装第三件	0	99999	10	0																						36	170	39	8																					286			227	3				
[玄金]鸣凤之空明袖	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	玄金装备，鸣凤级武当拳法套装第四件	2	99999	10	0	30	135	135	31	80	80																36	170	39	8																					286			227	4				
[玄金]鸣凤之空明法带	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	玄金装备，鸣凤级武当拳法套装第五件	1	99999	10	0	30	160	160	31	80	80																36	170	39	8																					286			227	5				
[玄金]鸣凤之空明道袍	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	玄金装备，鸣凤级武当拳法套装第六件	3	99999	10	0	30	720	720	31	90	90																36	170	39	8																					286			227	6				
[玄金]鸣凤之空明剑	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	玄金装备，鸣凤级武当拳法套装第七件	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	170	39	8																					286			227	7				
[玄金]鸣凤之空明履	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，鸣凤级武当拳法套装第八件	0	99999	10	0	30	160	160	31	80	80																36	170	39	8																					286			227	8				
[玄金]鸣凤之空明玉佩	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	玄金装备，鸣凤级武当拳法套装第九件	2	99999	10	0																						36	170	39	8																					286			227	9				
[玄金]鸣凤之空明下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	玄金装备，鸣凤级武当拳法套装第十件	1	99999	10	0																						36	170	39	8																					286			227	10				
[玄金]鸣凤之蓬莱符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，鸣凤级武当剑法套装第一件	0	99999	10	0																						36	170	39	8																					287			228	1				
[玄金]鸣凤之蓬莱冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	玄金装备，鸣凤级武当剑法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	170	39	8																					287			228	2				
[玄金]鸣凤之蓬莱上戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	玄金装备，鸣凤级武当剑法套装第三件	1	99999	10	0																						36	170	39	8																					287			228	3				
[玄金]鸣凤之蓬莱袖	0	8	1	\spr\item\equip\bangle\obj-bangle14.spr	34	1	2	玄金装备，鸣凤级武当剑法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	170	39	8																					287			228	4				
[玄金]鸣凤之蓬莱法带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	玄金装备，鸣凤级武当剑法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	170	39	8																					287			228	5				
[玄金]鸣凤之蓬莱道袍	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	玄金装备，鸣凤级武当剑法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	170	39	8																					287			228	6				
[玄金]鸣凤之蓬莱剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	玄金装备，鸣凤级武当剑法套装第七件	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	170	39	8																					287			228	7				
[玄金]鸣凤之蓬莱履	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，鸣凤级武当剑法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	170	39	8																					287			228	8				
[玄金]鸣凤之蓬莱玉佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	玄金装备，鸣凤级武当剑法套装第九件	3	99999	10	0																						36	170	39	8																					287			228	9				
[玄金]鸣凤之蓬莱下戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，鸣凤级武当剑法套装第十件	4	99999	10	0																						36	170	39	8																					287			228	10				
[玄金]鸣凤之九天项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，鸣凤级昆仑刀法套装第一件	0	99999	10	0																						36	170	39	9																					288			229	1				
[玄金]鸣凤之九天道冠	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	玄金装备，鸣凤级昆仑刀法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	170	39	9																					288			229	2				
[玄金]鸣凤之九天上戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	玄金装备，鸣凤级昆仑刀法套装第三件	1	99999	10	0																						36	170	39	9																					288			229	3				
[玄金]鸣凤之九天护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	玄金装备，鸣凤级昆仑刀法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	170	39	9																					288			229	4				
[玄金]鸣凤之九天腰带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	玄金装备，鸣凤级昆仑刀法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	170	39	9																					288			229	5				
[玄金]鸣凤之九天寒铁	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	玄金装备，鸣凤级昆仑刀法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	170	39	9																					288			229	6				
[玄金]鸣凤之九天道袍	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	玄金装备，鸣凤级昆仑刀法套装第七件	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	170	39	9																					288			229	7				
[玄金]鸣凤之九天靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，鸣凤级昆仑刀法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	170	39	9																					288			229	8				
[玄金]鸣凤之九天佩	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	玄金装备，鸣凤级昆仑刀法套装第九件	3	99999	10	0																						36	170	39	9																					288			229	9				
[玄金]鸣凤之九天下戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	玄金装备，鸣凤级昆仑刀法套装第十件	4	99999	10	0																						36	170	39	9																					288			229	10				
[玄金]鸣凤之参商符	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	玄金装备，鸣凤级昆仑剑法套装第一件	3	99999	10	0																						36	170	39	9																					289			230	1				
[玄金]鸣凤之参商道冠	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	玄金装备，鸣凤级昆仑剑法套装第二件	4	99999	10	0	30	360	360	31	85	85																36	170	39	9																					289			230	2				
[玄金]鸣凤之参商上戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	玄金装备，鸣凤级昆仑剑法套装第三件	0	99999	10	0																						36	170	39	9																					289			230	3				
[玄金]鸣凤之参商护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	玄金装备，鸣凤级昆仑剑法套装第四件	2	99999	10	0	30	135	135	31	80	80																36	170	39	9																					289			230	4				
[玄金]鸣凤之参商腰带	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	玄金装备，鸣凤级昆仑剑法套装第五件	1	99999	10	0	30	160	160	31	80	80																36	170	39	9																					289			230	5				
[玄金]鸣凤之参商道袍	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	玄金装备，鸣凤级昆仑剑法套装第六件	3	99999	10	0	30	720	720	31	90	90																36	170	39	9																					289			230	6				
[玄金]鸣凤之参商剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	玄金装备，鸣凤级昆仑剑法套装第七件	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	170	39	9																					289			230	7				
[玄金]鸣凤之参商靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，鸣凤级昆仑剑法套装第八件	0	99999	10	0	30	160	160	31	80	80																36	170	39	9																					289			230	8				
[玄金]鸣凤之参商佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	玄金装备，鸣凤级昆仑剑法套装第九件	2	99999	10	0																						36	170	39	9																					289			230	9				
[玄金]鸣凤之参商下戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	玄金装备，鸣凤级昆仑剑法套装第十件	1	99999	10	0																						36	170	39	9																					289			230	10				
[玄金]腾龙之菩提珠链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，腾龙级少林拳法套装第一件	2	99999	10	0																						36	180	39	0																					290			231	1				
[玄金]腾龙之菩提僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	玄金装备，腾龙级少林拳法套装第二件	1	99999	10	0	30	360	360	31	85	85																36	180	39	0																					290			231	2				
[玄金]腾龙之菩提金蝉指环	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，腾龙级少林拳法套装第三件	3	99999	10	0																						36	180	39	0																					290			231	3				
[玄金]腾龙之菩提护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	玄金装备，腾龙级少林拳法套装第四件	4	99999	10	0	30	135	135	31	80	80																36	180	39	0																					290			231	4				
[玄金]腾龙之菩提腰带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	玄金装备，腾龙级少林拳法套装第五件	0	99999	10	0	30	160	160	31	80	80																36	180	39	0																					290			231	5				
[玄金]腾龙之菩提袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	玄金装备，腾龙级少林拳法套装第六件	2	99999	10	0	30	720	720	31	90	90																36	180	39	0																					290			231	6				
[玄金]腾龙之菩提缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	玄金装备，腾龙级少林拳法套装第七件	1	99999	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										36	180	39	0																					290			231	7				
[玄金]腾龙之菩提僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，腾龙级少林拳法套装第八件	3	99999	10	0	30	160	160	31	80	80																36	180	39	0																					290			231	8				
[玄金]腾龙之菩提腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	玄金装备，腾龙级少林拳法套装第九件	4	99999	10	0																						36	180	39	0																					290			231	9				
[玄金]腾龙之菩提玄奘指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	玄金装备，腾龙级少林拳法套装第十件	0	99999	10	0																						36	180	39	0																					290			231	10				
[玄金]腾龙之如来佛珠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，腾龙级少林棍法套装第一件	4	99999	10	0																						36	180	39	0																					291			232	1				
[玄金]腾龙之如来僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	玄金装备，腾龙级少林棍法套装第二件	0	99999	10	0	30	360	360	31	85	85																36	180	39	0																					291			232	2				
[玄金]腾龙之如来大慈指环	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，腾龙级少林棍法套装第三件	2	99999	10	0																						36	180	39	0																					291			232	3				
[玄金]腾龙之如来护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	玄金装备，腾龙级少林棍法套装第四件	1	99999	10	0	30	135	135	31	80	80																36	180	39	0																					291			232	4				
[玄金]腾龙之如来腰带	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	玄金装备，腾龙级少林棍法套装第五件	3	99999	10	0	30	160	160	31	80	80																36	180	39	0																					291			232	5				
[玄金]腾龙之如来袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	玄金装备，腾龙级少林棍法套装第六件	4	99999	10	0	30	720	720	31	90	90																36	180	39	0																					291			232	6				
[玄金]腾龙之如来法棍	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	玄金装备，腾龙级少林棍法套装第七件	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	180	39	0																					291			232	7				
[玄金]腾龙之如来僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，腾龙级少林棍法套装第八件	2	99999	10	0	30	160	160	31	80	80																36	180	39	0																					291			232	8				
[玄金]腾龙之如来腰坠	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	玄金装备，腾龙级少林棍法套装第九件	1	99999	10	0																						36	180	39	0																					291			232	9				
[玄金]腾龙之如来大悲指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	玄金装备，腾龙级少林棍法套装第十件	3	99999	10	0																						36	180	39	0																					291			232	10				
[玄金]腾龙之无量项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，腾龙级少林刀法套装第一件	4	99999	10	0																						36	180	39	0																					292			233	1				
