名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值
易容面具-圣诞精灵(蓝)	0	11	421	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1126	1126													44	7200	7200															
易容面具-圣诞精灵(紫)	0	11	422	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1127	1127													44	7200	7200															
易容面具-圣诞精灵(红)	0	11	423	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1128	1128													44	7200	7200															
易容面具-圣诞精灵(黄)	0	11	424	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1129	1129													44	7200	7200															
易容面具-黄雪人	0	11	425	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1329	1329													44	7200	7200															
易容面具-紫雪人	0	11	426	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1330	1330													44	7200	7200															
易容面具-绿雪人	0	11	427	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1331	1331													44	7200	7200															
易容面具-古天缺	0	11	428	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1310	1310													44	7200	7200															
易容面具-证言	0	11	429	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1311	1311													44	7200	7200															
易容面具-照日冕	0	11	430	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1312	1312													44	7200	7200															
易容面具-唐昊	0	11	431	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1313	1313													44	7200	7200															
易容面具-妙一	0	11	432	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1314	1314													44	7200	7200															
易容面具-厉折梅	0	11	433	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1315	1315													44	7200	7200															
易容面具-端木离	0	11	434	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1316	1316													44	7200	7200															
易容面具-白郎	0	11	435	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1317	1317													44	7200	7200															
易容面具-秦晓书	0	11	436	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1318	1318													44	7200	7200															
易容面具-凌霄子	0	11	437	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1319	1319													44	7200	7200															
易容面具-梁媚儿	0	11	438	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1309	1309													44	7200	7200															
易容面具-青年雷剑	0	11	439	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1043	1043													44	7200	7200															
易容面具-青年笑霜	0	11	440	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1044	1044													44	7200	7200															
易容面具-青年海棠	0	11	441	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1046	1046													44	7200	7200															
节日面具-大头娃娃	0	11	442	\spr\item\equip\mask\yrmj_02.spr	379	1	1	新春面具，戴上之后，可以装扮成舞扇子的大头娃娃，使用时间为零后将会自动消失。		100	1	0		726	726													44	7200	7200															
易容面具-龙老虎	0	11	443	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1382	1382													44	7200	7200															
易容面具-苍邂逅	0	11	444	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1383	1383													44	7200	7200															
易容面具-春牛	0	11	445	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1397	1397													44	7200	7200															
节日面具-大将军	0	11	446	\spr\item\equip\mask\yrmj_01.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		746	746													31	1	1															
易容面具-元帅	0	11	447	\spr\item\equip\mask\yrmj_04.spr	379	1	1	武林至尊		0	1	0		1241	1241													44	60	60				36	50										
易容面具-嫦娥	0	11	448	\spr\item\equip\mask\yrmj_02.spr	379	1	1	带上这个面具，就能化妆成嫦娥的样子。		0	1	0		1456	1456													44	7200	7200															
易容面具-后羿	0	11	449	\spr\item\equip\mask\yrmj_02.spr	379	1	1	带上这个面具，就能化妆成后羿的样子。		0	1	0		1457	1457													44	7200	7200															
节日面具-大将军	0	11	450	\spr\item\equip\mask\yrmj_01.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		746	746													31	24	24															
易容面具-火云虎	0	11	451	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1	1													44	1440	1440															
易容面具-火狼	0	11	452	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		6	6													44	1440	1440															
易容面具-山贼头目	0	11	453	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		870	870													44	1440	1440															
易容面具-久命	0	11	454	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0				85	500	500																											
易容面具-鬼影	0	11	455	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0				111	20	20																											
易容面具-圣诞舞娘	0	11	456	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1504	1504																														
易容面具-圣诞企鹅	0	11	457	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1503	1503																														
易容面具-圣诞雪熊	0	11	458	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1502	1502																														
易容面具-林野醉清风	0	11	459	\spr\item\equip\mask\yrmj_02.spr	379	1	1	虎年情侣面具，戴上后即可易容成身着虎皮狩猎装、英姿飒爽的侠客形象。		0	1	0		1538	1538																														
易容面具-山间笑红尘	0	11	460	\spr\item\equip\mask\yrmj_02.spr	379	1	1	虎年情侣面具，戴上后即可易容成身着虎皮狩猎装、妩媚矫健的侠女形象。		0	1	0		1539	1539																														
易容面具-至尊武林侠少	0	11	461	\spr\item\equip\mask\yrmj_02.spr	379	1	1	剑网VIP专用		0	1	0		1542	1542																														
易容面具-至尊武林侠女	0	11	462	\spr\item\equip\mask\yrmj_02.spr	379	1	1	剑网VIP专用		0	1	0		1543	1543																														
易容面具-紫端（久命）	0	11	463	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1569	1569	85	1000	1000																											
易容面具-紫舞（久命）	0	11	464	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1570	1570	85	1000	1000																											
易容面具-紫端（长功）	0	11	465	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1569	1569	89	1000	1000																											
易容面具-紫舞（长功）	0	11	466	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1570	1570	89	1000	1000																											
易容面具-紫端（坚韧）	0	11	467	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1569	1569	114	10	10																											
易容面具-紫舞（坚韧）	0	11	468	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1570	1570	114	10	10																											
易容面具-古船	0	11	469	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1572	1572	85	300	300	121	25	25	172	25	25	169	500	500	170	500	500	171	500	500												
易容面具-长袍	0	11	470	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1573	1573	85	300	300	121	25	25	172	25	25	169	500	500	170	500	500	171	500	500												
易容面具-剑风（久命）	0	11	471	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1582	1582	85	1000	1000																											
易容面具-云霞（久命）	0	11	472	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1583	1583	85	1000	1000																											
易容面具-剑风（长功）	0	11	473	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1582	1582	89	1000	1000																											
易容面具-云霞（长功）	0	11	474	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1583	1583	89	1000	1000																											
易容面具-剑风（坚韧）	0	11	475	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1582	1582	114	10	10																											
易容面具-云霞（坚韧）	0	11	476	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1583	1583	114	10	10																											
易容面具-白城郡主	0	11	477	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		695	695													44	7200	7200															
易容面具-兰陵公子	0	11	478	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		696	696													44	7200	7200															
易容面具-长攻	0	11	479	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0																																	
易容面具-坚强	0	11	480	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0																																	
易容面具-武林至尊（废弃）	0	11	481	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可获得强大的武力		0	1	0		131	131																														
易容面具-战场英雄	0	11	482	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后参与宋金战场可获得更多的宋金积分		0	1	0																																	
易容面具-元旦天使(红)	0	11	483	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		624	624													44																	
易容面具-元旦天使(黄)	0	11	484	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1137	1137													44																	
易容面具-元旦天使(蓝)	0	11	485	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1134	1134													44																	
易容面具-元旦老人(红)	0	11	486	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		623	623													44																	
易容面具-元旦老人(黄)	0	11	487	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1133	1133													44																	
易容面具-元旦老人(蓝)	0	11	488	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1130	1130													44																	
易容面具-元旦精灵(红)	0	11	489	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1128	1128													44																	
易容面具-元旦精灵(黄)	0	11	490	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1129	1129													44																	
易容面具-元旦精灵(蓝)	0	11	491	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1126	1126													44																	
易容面具-至尊武林侠少	0	11	492	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1668	1668													44																	
易容面具-至尊武林侠女	0	11	493	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		0	1	0		1669	1669													44																	
扶桑面罩	0	11	494	\spr\item\equip\mask\yrmj_02.spr	379	1	1	据说这是各个隐者扶桑伪装秘传的面具。		0	1	0				256	1	1																											
侠客面	0	11	495	\spr\item\equip\mask\yrmj_02.spr	379	1	1	各个镖局的总镖头常用来防止刺客。		0	1	0				257	1	1																											
易容面具-白莹莹	0	11	496	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		742	742	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-白城郡主	0	11	497	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		695	695	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-钟灵秀	0	11	498	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		567	567	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-古柏	0	11	499	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		566	566	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-刀双凤	0	11	500	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1222	1222	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-道清真人	0	11	501	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		562	562	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-妙如	0	11	502	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		513	513	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-端木睿	0	11	503	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		565	565	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-东子	0	11	504	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		471	471	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-唐不染	0	11	505	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		741	741	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-唐神	0	11	506	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1227	1227	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-唐天心	0	11	507	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1140	1140	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-耶律辟离	0	11	508	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		563	563	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-何怜飘	0	11	509	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		568	568	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-何人我	0	11	510	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		745	745	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-夏诚	0	11	511	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1138	1138	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-白猪	0	11	512	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		43	43	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-梅花鹿	0	11	513	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		42	42	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-玄觉大师	0	11	514	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		740	740	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-兰陵公子	0	11	515	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		696	696	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-蓝伊伊	0	11	516	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		582	582	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-柳飞烟	0	11	517	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1230	1230	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-柳青青	0	11	518	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		523	523	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-龙十三爷	0	11	519	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1231	1231	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-孟沧浪	0	11	520	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		583	583	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-慕容燕	0	11	521	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1223	1223	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-月遥遥	0	11	522	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1228	1228	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-扇客	0	11	523	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		602	602	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-新年侠客	0	11	524	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1122	1122	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-新年侠女	0	11	525	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1123	1123	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-青年海棠	0	11	526	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1046	1046	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-成年海棠	0	11	527	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1064	1064	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-青年火刃	0	11	528	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1045	1045	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-成年火刃	0	11	529	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1063	1063	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-青年金锋	0	11	530	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1047	1047	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-成年金锋	0	11	531	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1065	1065	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-青年雷剑	0	11	532	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1043	1043	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-成年雷剑	0	11	533	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1061	1061	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-青年笑霜	0	11	534	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1044	1044	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-成年笑霜	0	11	535	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1062	1062	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-清绝师太	0	11	536	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		743	743	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-少年海棠	0	11	537	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1059	1059	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-少年火刃	0	11	538	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1058	1058	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-少年金锋	0	11	539	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1060	1060	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-少年雷剑	0	11	540	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1056	1056	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-少年笑霜	0	11	541	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1057	1057	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-苏词馨	0	11	542	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1139	1139	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-张宗正	0	11	543	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		511	511	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-紫侠	0	11	544	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1224	1224	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-璇玑子	0	11	545	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		747	747	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-亚洲象	0	11	546	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		13	13	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-黄河象	0	11	547	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		14	14	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-王佐	0	11	548	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		739	739	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-嫣晓倩	0	11	549	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		744	744	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-燕赵	0	11	550	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1229	1229	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-照日冕	0	11	551	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1312	1312	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-妙一	0	11	552	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1314	1314	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-端木离	0	11	553	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1316	1316	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-唐昊	0	11	554	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1313	1313	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-嫦娥	0	11	555	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1456	1456	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-凌霄子	0	11	556	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1319	1319	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
易容面具-厉折梅	0	11	557	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子		0	1	0		1315	1315	245	10	10	106	10	10	108	10	10	110	10	10				111	10	10												
